Company Name,City,State,Website,Instagram,Contact Name,Contact Title,Company Contact,Company Founded,Company Revived,Country,Company Description ,Making in America Description,Last Updated,Products
Weiss,Nashville,TN,https://weisswatchcompany.com/,https://www.instagram.com/weisswatchcompany/,Cameron Weiss,Founder,info@weisswatchcompany.com,2013,,US,Coming soon!,Also coming soon!,9/29/25,Watches; Straps
Wiegand,Mentor,OH,https://www.wiegandwatches.net/,None,,,Chris@lum-tec.com,2007,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Wilbur,New York,NY,https://wilburco.com/,https://www.instagram.com/wilburwatchco/,Jason Wilbur,Founder,concierge@wilburwatchco.com,2007,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Astor + Banks,Chicago,IL,https://astorandbanks.com/,https://www.instagram.com/astorandbanks/,,,help@astorandbanks.com,2012,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Autodromo,New York,NY,https://autodromo.com/,https://www.instagram.com/autodromo/,Bradley Price,Founder,info@autodromo.com,2011,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Bespoke Watch Projects,Oakland,CA,https://www.bespokewatchprojects.com/,https://www.instagram.com/bespokewatchprojects/,,,time@bespokewatchprojects.com,2014,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Brew,New York,NY,https://www.brew-watches.com/,https://www.instagram.com/brewwatches/,Jonathan Ferrer,"Founder, Watchmaker",Support@Brew-Watches.com,2015,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Celeste Watch Company,Springfield,OR,https://celestewatch.com/,https://www.instagram.com/celeste.watch/,,,support@celestewatch.com,2013,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Detroit Watch Company,Detroit,MI,https://detroitwatchco.com/,https://www.instagram.com/detroitwatch/,Patrick Ayoub,Founder,dwc@detroitwatchco.com,2013,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Jack Mason,Dallas,TX,https://jackmasonbrand.com/,https://www.instagram.com/jackmasonbrand/,,,customerservice@jackmasonbrand.com,2015,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Mercer Watch Co.,Princeton,NJ,https://mercerwatch.co/,https://www.instagram.com/mercerwatchco/,,,info@mercerwatch.co,2014,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Minuteman,Chenoa,IL,https://minutemanwatches.com/,None,Thomas Carey,Founder,info@cgawatches.com,2012,,US,Coming soon!,Also coming soon!,9/29/25,Watches
MVMT,Los Angeles,CA,https://www.mvmt.com/,https://www.instagram.com/mvmt/,,,support@mvmt.com,2013,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Oak and Oscar,Chicago,IL,https://oakandoscar.com/,https://www.instagram.com/oakandoscar/,Chase Fancher,Founder,info@oakandoscar.com,2015,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Origin Watch Company,Memphis,TN,https://www.originwatch.com/,https://www.instagram.com/origin.watch.co/,,,Website only,2014,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Original Grain,San Diego,CA,https://www.originalgrain.com/,https://www.instagram.com/originalgrain/,,,support@originalgrain.com,2013,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Shinola,Detroit,MI,https://www.shinola.com/,https://www.instagram.com/shinola/,,,customerservice@shinola.com,2011,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Talley & Twine,Portsmouth ,VA,https://talleyandtwine.com/,https://www.instagram.com/talleyandtwine/,,,theteam@talleyandtwine.com,2014,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Throne,New York,NY,https://thronewatches.com/,https://www.instagram.com/thronewatches/,,,info@thronewatches.com,2012,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Vero,Portland,OR,https://vero-watch.com/,https://www.instagram.com/verowatchcompany/,Chris Boudreaux,Founder,support@vero-watch.com,2015,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Visitor,Greenwood,IN,https://www.visitorwatchco.com/,https://www.instagram.com/visitorwatchco/,,,phil.rodenbeck@visitorwatchco.com,2013,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Xeric Watches,Provo,UT,https://www.xeric.com/,https://www.instagram.com/xericwatches/,Mitch Greenblatt,Founder,contact@xeric.com,2013,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Alex Voss,San Jose,CA,https://www.alexvoss.com/,https://www.instagram.com/alex_voss_watches/,Alexander Vossbrinck,"Founder, Watchmaker",alexvossbrinck@gmail.com,2018,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Ares,Stanwood,WA,https://www.areswatches.com/,https://www.instagram.com/areswatchco/,Matt Graham,"Founder, Watchmaker",ares@areswatches.com,2018,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Cincinnati Watch Company,Cincinatti,OH,https://cincinnatiwatch.com/,https://www.instagram.com/cincinnatiwatchco/,,,Rick@cincinnatiwatch.com,2016,,US,Coming soon!,Also coming soon!,9/29/25,Watches
DuFrane,Austin,TX,https://www.dufranewatches.com/,https://www.instagram.com/dufrane_watches/,Steven Lee,"Founder, Watchmaker",info@dufranewatches.com,2016,,US,Coming soon!,Also coming soon!,9/29/25,Watches
FTS American Manufacturing,Mesa,AZ,https://www.ftsusa.us/,https://www.instagram.com/ftsusaofficial/,,,info@ftsusa.us,2017,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Geo,Puerto Rico,PR,https://www.geoshop.co/,https://www.instagram.com/geoshop.co/,,,info@geoshop.co,2019,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Hoffman,New York,NY,https://hoffmanwatches.com/,https://www.instagram.com/hoffmanwatches/,,,contact@hoffmanwatches.com,2016,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Islander,Farmingdale,NY,https://longislandwatch.com/islander-watches/,https://www.instagram.com/longislandwatch/,,,sales@longislandwatch.com,2019,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Jacob Curtis,Staunton,VA,https://www.instagram.com/jrolandc/,https://www.instagram.com/jrolandc/,,,Website only,2017,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Lorier,New York,NY,https://www.lorierwatches.com/,https://www.instagram.com/lorierwatches/,,,info@lorierwatches.com,2016,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Marin Instruments,Santa Fe,NM,https://www.marininstruments.com/,https://www.instagram.com/marininstruments/,Justin Walters,Founder,info@marininstruments.com,2019,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Monta,St Louis,MO,https://montawatch.com/,https://www.instagram.com/montawatch/,,,info@montawatch.com,2016,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Nodus,Los Angeles,CA,https://www.noduswatches.com/,https://www.instagram.com/noduswatches/,,,info@noduswatches.com,2017,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Oceaneva,Lynchburg,VA,https://oceaneva.com/,https://www.instagram.com/Oceanevawatches/,,,info@oceaneva.com,2018,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Orion,Swarthmore,PA,https://orionwatch.com/,https://www.instagram.com/orionwatches/,Nicholas Harris,President,info@orionwatch.com,2016,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Pelton,Detroit,MI,https://www.peltonusa.com/,https://www.instagram.com/peltonusa/,Deni Mesanovic,Founder,Broken website,2016,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Stella,Bedford,NY,https://www.stellawatchcompany.com/,https://www.instagram.com/stellawatchofficial/,,,info@stellawatch.com,2019,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Traska,Jacksonville Beach,FL,https://www.traskawatch.com/,https://www.instagram.com/traskawatch/,,,info@traskawatch.com,2018,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Tsao Baltimore,Baltimore ,MD,https://tsaobaltimore.com/,https://www.instagram.com/tsaobaltimore/,,,alan@tsaobaltimore.com,2017,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Typsim,Seattle,WA,https://www.typsim.com/,https://www.instagram.com/typsimwatches/,Matthew Zinski,Founder & CEO,info@typsim.com,2019,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Vaer,Venice Beach,CA,https://www.vaerwatches.com/,https://www.instagram.com/vaeradventure/,Ryan Torres,Founder,team@vaerdesign.com,2016,,US,Coming soon!,Also coming soon!,9/29/25,Watches
1776 Atelier,Fulshear,TX,https://1776atelier.com/,https://www.instagram.com/1776atelier/,,,Website only,2024,,US,Coming soon!,Also coming soon!,9/29/25,Watches
5280 Watch Company,Denver,CO,https://www.5280watchcompany.com/,https://www.instagram.com/5280watchcompany/,,,info@5280WatchCompany.com,2023,,US,Coming soon!,Also coming soon!,9/29/25,Watches
American Watch Company,Los Angeles,CA,https://www.americanwatch.com/,,,,info@americanwatch.com,,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Artefkt Watches,Detroit,MI,https://www.artefktwatches.com/,https://www.instagram.com/artefktwatches/,Brandon Little,Founder,info@artefktseven.com,2024,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Bremoir,New York,NY,https://www.bremoir.com/,https://www.instagram.com/bremoir/,,,Website only,2021,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Camp Watches,Los Angeles,CA,https://campwatches.com/,https://www.instagram.com/campwatchco/,,,info@campwatches.com,2024,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Canopy Watch Company,Houston,TX,https://www.canopywatchco.com/,https://www.instagram.com/canopywatchco/,,,info@canopywatchco.com,2020,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Colorado Watch Company,Fort Collins,CO,https://coloradowatchcompany.com/,https://www.instagram.com/coloradowatchcompany/,,,info@vorticwatches.com,2023,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Cornell Watch Co.,Chicago,IL,https://www.cornellwatchcompany.com/,https://www.instagram.com/cornellwatchcompany/,John Warren,CEO,john@cornellwatchco.com,2024,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Despain Made,Utah County,UT,https://www.despainmade.com/,https://www.instagram.com/despainmade/,Isaac Despain,Founder,Website only,2024,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Dewey Vicknair,Lancaster,PA,https://www.vicknairrestorations.com,None,,,Dewey@VicknairRestorations.com,2023,,US,Coming soon!,Also coming soon!,9/29/25,Watches
DM Tiffany,Phoenix,AZ,https://www.dmtiffany.com/,https://www.instagram.com/dmtiffany.timepieces/,Darren Tiffany,"Founder, Watchmaker",Darren@DMTiffanyTimepieces.com,2020,,US,Coming soon!,Also coming soon!,9/29/25,Watches
E Stohlman,Hagerstown,MD,https://estohlman.com/,https://www.instagram.com/e.stohlmanwatchco/,,,e.stohlmanwatchco@gmail.com,2022,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Fleming,New York,NY,https://www.fleming.watch/,https://www.instagram.com/fleming/,Thomas Fleming,Founder,Website only,2024,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Ganance,Chicago,IL,https://ganance.com/,https://www.instagram.com/wearganance/,,,Website only,2021,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Haim Watch Company,Chicago,IL,https://haimwatchco.com/,https://www.instagram.com/haimwatchco/,,,info@haimwatchco.com,2020,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Haven,Fort Wayne ,IN,https://havenwatchco.com/,https://www.instagram.com/havenwatchco/,,,Website only,2019,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Jack Sloane,Denver,CO,https://jacksloane.com/,https://www.instagram.com/jacksloanewatchco/,,,info@jacksloane.com,2023,,US,Coming soon!,Also coming soon!,9/29/25,Watches
La Motte Watch Co.,San Diego,CA,https://www.lamottewatchco.com/,https://www.instagram.com/lamottewatch/,,,info@lamottewatchco.com,2023,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Lineage Watch Co.,San Diego,CA,https://lineagewatchco.com/,https://www.instagram.com/lineagewatchco/,Brianna Edwards,Founder,support@lineagewatchco.com,2021,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Loci Watch,Los Angeles,CA,https://www.lociwatch.com/,https://www.instagram.com/loci.watch.co/,,,info@lociwatch.com,2023,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Lorca,New York,NY,https://lorcawatches.com/,https://www.instagram.com/lorcawatches/,,,info@lorcawatches.com,2022,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Maryland Watch Works,Hagerstown,MD,https://www.marylandwatchworks.com/,https://www.instagram.com/marylandwatchworks/,,,info@MarylandWatchWorks.com,,,US,Coming soon!,Also coming soon!,9/29/25,Watches
McDowell Time,Gaithersburg,MD,https://www.mcdowelltime.com/,https://www.instagram.com/mcdowelltime/,,,,,,US,Coming soon!,Also coming soon!,9/29/25,Watches
MEC Watches,Ft Lauderdale,FL,https://www.mecwatches.com/,https://www.instagram.com/mecwatches/,,,info@mecwatches.com,2022,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Oberlin Watch Co,Salem,MA,https://oberlinwatch.com/,https://www.instagram.com/obie_watch/,James Henderson,,Website only,2020,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Pacific Watch Co.,Camas,WA,https://pacificwatch.co/,https://www.instagram.com/pacificwatchcompany/,,,hello@pacificwatch.co,2022,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Phoenix Watch Company,Boston,MA,https://phoenixwatchco.com/,https://www.instagram.com/phoenixwatchcompany/,,,11info@phoenixwatchco.com,2023,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Schon Horology,Philadelphia,PA,https://www.schonhorology.com/,https://www.instagram.com/the_schon/,Ian Schon,Founder & CEO,,2017,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Teleport,New York,NY,https://teleportwatches.com/,https://www.instagram.com/teleportwatches/,Michael Porter,Founder,customersupport@teleportwatches.com,2021,,US,Coming soon!,Also coming soon!,9/29/25,Watches
The Watchmakers Shop,,,https://www.thewatchmakersshop.com/pages/service,,,,,,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Trafford Watch Company,Austin,TX,https://www.traffordwatchco.com/,https://www.instagram.com/traffordwatchco/,,,info@traffordwatchco.com,2020,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Treiber Timepieces,San Francisco,CA,https://www.treibertimepieces.com/,https://www.instagram.com/treiber_timepieces/,,,hermann@treibertimepieces.com,2023,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Wasson Watches,Dallas,TX,https://wassonwatch.com/,https://www.instagram.com/wassonwatch/,,,Website only,2018,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Wren Watches,New York,NY,https://www.wrenwatches.com/,https://www.instagram.com/wrenwatches/,,,Website only,2023,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Deep Blue Watches,New York,NY,https://www.deepbluewatches.com/,https://instagram.com/deepbluewatches,,,info@deepbluewatches.com,2007,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Clement Design Studio,New York,NY,https://www.clementdesignstudio.com/,https://www.instagram.com/clementdesignstudios/,,,,2020,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Ferro & Co.,Vancouver,BC,https://www.ferrowatches.com/,https://www.instagram.com/ferrowatches/,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Barrington Griffiths Watch Company,,,https://bgwatch.com/,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
VanBanner,Vancouver,BC,https://vanbannerwatches.com/,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Novo Watch,,,https://www.novowatch.com/,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Aevum,,,,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Bradley Taylor,Vancouver,BC,https://www.bradleytaylor.ca/,https://www.instagram.com/bradleytaylor.ca,,,,2023,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Canister,,,https://canisterwatches.com/,https://www.instagram.com/canister_watches,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Halios,Vancouver,BC,https://halioswatches.com/,https://www.instagram.com/halioswatches,,,info@halioswatches.com,2009,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Helgray,,,,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Heron,,,,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Jose Cermeno,,,,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Locke & King,,,,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Makoto,,,,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Marathon,,,,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Mission,,,,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Mollinger,,,,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Momentum,,,,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Noctua,,,,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Redwood,,,,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Solios,,,,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Tense Watches,,,,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Tesse,,,,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Vancouver Watch Company,,,,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Vieren,,,,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Whitby,,,,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Wilk,,,,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Worden,,,,,,,,,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Zenea,,,,,,,,2019,,CA,Coming soon!,Also coming soon!,9/29/25,Watches
Nixon,Encinitas,CA,https://www.nixon.com/,https://www.instagram.com/nixon/,,,support@nixon.com,1998,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Raven,Overland Park,KS,https://ravenwatches.com/,https://www.instagram.com/raven_watches,Steve Laughlin,Founder,sales@ravenwatches.com,2008,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Dan Henry,,,https://danhenrywatches.com/,https://www.instagram.com/danhenrywatches/,Dan Henry,Founder,support@danhenrywatches.com,2016,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Primitive Haus,Seattle,WA,https://www.primitivehaus.com/,,Teslim Alabi,Founder,hello@primitivehaus.com,2016,,US,Coming soon!,Also coming soon!,9/29/25,Watches
SeaPro,Los Angeles,CA,https://www.seaprowatches.com/,,https://www.instagram.com/seapro_watches/,,seaprowatches@gmail.com ,2003,,US,Coming soon!,Also coming soon!,9/29/25,Watches
Substation,,,,,,,,,,US,Coming soon!,Also coming soon!,9/29/25,Straps
Veblenist,,,,,,,,,,US,Coming soon!,Also coming soon!,9/29/25,Straps
Crown & Buckle,,,,,,,,,,US,Coming soon!,Also coming soon!,9/29/25,Straps
Strapcode,,,,,,,,,,US,Coming soon!,Also coming soon!,9/29/25,Straps
Jack Foster,,,,,,,,,,US,Coming soon!,Also coming soon!,9/29/25,Straps
Craft and Lore,,,,,,,,,,US,Coming soon!,Also coming soon!,9/29/25,Straps
ADPT,,,,,,,,,,US,Coming soon!,Also coming soon!,9/29/25,Straps
DaLuca Straps,,,,,,,,,,US,Coming soon!,Also coming soon!,9/29/25,Straps
Velle Alexander,,,,,,,,,,US,Coming soon!,Also coming soon!,9/29/25,Straps
Altsha,,,,,,,,,,US,Coming soon!,Also coming soon!,9/29/25,Straps
North Street Watch Co.,,,,,,,,,,US,Coming soon!,Also coming soon!,9/29/25,Straps
Balabanoff,,,,,,,,,,US,Coming soon!,Also coming soon!,9/29/25,Straps
